Logging to experiments/gym_fwalker2d/W/Mon-07-Nov-2022-10-28-41-AM-CST_gym_fwalker2d_trpo_iteration_20_seed2231
Print configuration .....
{'env_name': 'gym_fwalker2d', 'random_seeds': [3214, 2431, 2531, 2231], 'save_variables': False, 'model_save_dir': '/tmp/gym_fwalker2d_models/', 'restore_variables': False, 'start_onpol_iter': 0, 'onpol_iters': 33, 'num_path_random': 6, 'num_path_onpol': 6, 'env_horizon': 1000, 'max_train_data': 200000, 'max_val_data': 100000, 'discard_ratio': 0.0, 'dynamics': {'pre_training': {'mode': 'intrinsic_reward', 'itr': 0, 'policy_itr': 20}, 'model': 'nn', 'ensemble': False, 'ensemble_model_count': 5, 'enable_particle_ensemble': True, 'particles': 5, 'obs_var': 1.0, 'intrinsic_reward_coeff': 1.0, 'ita': 1.0, 'mode': 'random', 'val': True, 'n_layers': 4, 'hidden_size': 1000, 'activation': 'relu', 'batch_size': 1000, 'learning_rate': 0.001, 'reg_coeff': 0.0, 'epochs': 200, 'kfac_params': {'learning_rate': 0.1, 'damping': 0.001, 'momentum': 0.9, 'kl_clip': 0.0001, 'cov_ema_decay': 0.99}}, 'policy': {'network_shape': [64, 64], 'init_logstd': 0.0, 'activation': 'tanh', 'reinitialize_every_itr': False}, 'trpo': {'horizon': 1000, 'gamma': 0.99, 'step_size': 0.01, 'iterations': 20, 'batch_size': 50000, 'gae': 0.95, 'visualization': False, 'visualize_iterations': [0]}, 'algo': 'trpo'}
Generating random rollouts.
Path 0 | total_timesteps 0.
Path 1 | total_timesteps 14.
Path 2 | total_timesteps 33.
Path 3 | total_timesteps 47.
Path 4 | total_timesteps 67.
Path 5 | total_timesteps 89.
Path 6 | total_timesteps 106.
Path 7 | total_timesteps 121.
Path 8 | total_timesteps 133.
Path 9 | total_timesteps 149.
Path 10 | total_timesteps 165.
Path 11 | total_timesteps 184.
Path 12 | total_timesteps 195.
Path 13 | total_timesteps 211.
Path 14 | total_timesteps 235.
Path 15 | total_timesteps 260.
Path 16 | total_timesteps 290.
Path 17 | total_timesteps 313.
Path 18 | total_timesteps 327.
Path 19 | total_timesteps 348.
Path 20 | total_timesteps 391.
Path 21 | total_timesteps 415.
Path 22 | total_timesteps 426.
Path 23 | total_timesteps 448.
Path 24 | total_timesteps 485.
Path 25 | total_timesteps 513.
Path 26 | total_timesteps 554.
Path 27 | total_timesteps 568.
Path 28 | total_timesteps 587.
Path 29 | total_timesteps 605.
Path 30 | total_timesteps 618.
Path 31 | total_timesteps 631.
Path 32 | total_timesteps 663.
Path 33 | total_timesteps 699.
Path 34 | total_timesteps 721.
Path 35 | total_timesteps 743.
Path 36 | total_timesteps 776.
Path 37 | total_timesteps 798.
Path 38 | total_timesteps 820.
Path 39 | total_timesteps 835.
Path 40 | total_timesteps 850.
Path 41 | total_timesteps 872.
Path 42 | total_timesteps 890.
Path 43 | total_timesteps 915.
Path 44 | total_timesteps 929.
Path 45 | total_timesteps 942.
Path 46 | total_timesteps 954.
Path 47 | total_timesteps 980.
Path 48 | total_timesteps 1003.
Path 49 | total_timesteps 1023.
Path 50 | total_timesteps 1040.
Path 51 | total_timesteps 1063.
Path 52 | total_timesteps 1076.
Path 53 | total_timesteps 1088.
Path 54 | total_timesteps 1126.
Path 55 | total_timesteps 1138.
Path 56 | total_timesteps 1180.
Path 57 | total_timesteps 1244.
Path 58 | total_timesteps 1255.
Path 59 | total_timesteps 1287.
Path 60 | total_timesteps 1308.
Path 61 | total_timesteps 1322.
Path 62 | total_timesteps 1345.
Path 63 | total_timesteps 1382.
Path 64 | total_timesteps 1397.
Path 65 | total_timesteps 1409.
Path 66 | total_timesteps 1423.
Path 67 | total_timesteps 1438.
Path 68 | total_timesteps 1456.
Path 69 | total_timesteps 1499.
Path 70 | total_timesteps 1518.
Path 71 | total_timesteps 1540.
Path 72 | total_timesteps 1549.
Path 73 | total_timesteps 1561.
Path 74 | total_timesteps 1618.
Path 75 | total_timesteps 1639.
Path 76 | total_timesteps 1664.
Path 77 | total_timesteps 1681.
Path 78 | total_timesteps 1691.
Path 79 | total_timesteps 1716.
Path 80 | total_timesteps 1729.
Path 81 | total_timesteps 1758.
Path 82 | total_timesteps 1783.
Path 83 | total_timesteps 1796.
Path 84 | total_timesteps 1819.
Path 85 | total_timesteps 1848.
Path 86 | total_timesteps 1864.
Path 87 | total_timesteps 1877.
Path 88 | total_timesteps 1917.
Path 89 | total_timesteps 1927.
Path 90 | total_timesteps 1946.
Path 91 | total_timesteps 1968.
Path 92 | total_timesteps 1992.
Path 93 | total_timesteps 2024.
Path 94 | total_timesteps 2047.
Path 95 | total_timesteps 2066.
Path 96 | total_timesteps 2087.
Path 97 | total_timesteps 2116.
Path 98 | total_timesteps 2125.
Path 99 | total_timesteps 2141.
Path 100 | total_timesteps 2151.
Path 101 | total_timesteps 2161.
Path 102 | total_timesteps 2186.
Path 103 | total_timesteps 2211.
Path 104 | total_timesteps 2235.
Path 105 | total_timesteps 2251.
Path 106 | total_timesteps 2269.
Path 107 | total_timesteps 2306.
Path 108 | total_timesteps 2334.
Path 109 | total_timesteps 2354.
Path 110 | total_timesteps 2399.
Path 111 | total_timesteps 2420.
Path 112 | total_timesteps 2451.
Path 113 | total_timesteps 2468.
Path 114 | total_timesteps 2486.
Path 115 | total_timesteps 2501.
Path 116 | total_timesteps 2536.
Path 117 | total_timesteps 2549.
Path 118 | total_timesteps 2567.
Path 119 | total_timesteps 2583.
Path 120 | total_timesteps 2610.
Path 121 | total_timesteps 2625.
Path 122 | total_timesteps 2640.
Path 123 | total_timesteps 2662.
Path 124 | total_timesteps 2678.
Path 125 | total_timesteps 2689.
Path 126 | total_timesteps 2712.
Path 127 | total_timesteps 2739.
Path 128 | total_timesteps 2763.
Path 129 | total_timesteps 2778.
Path 130 | total_timesteps 2789.
Path 131 | total_timesteps 2816.
Path 132 | total_timesteps 2826.
Path 133 | total_timesteps 2844.
Path 134 | total_timesteps 2857.
Path 135 | total_timesteps 2864.
Path 136 | total_timesteps 2897.
Path 137 | total_timesteps 2921.
Path 138 | total_timesteps 2957.
Path 139 | total_timesteps 2983.
Path 140 | total_timesteps 2993.
Path 141 | total_timesteps 3010.
Path 142 | total_timesteps 3020.
Path 143 | total_timesteps 3029.
Path 144 | total_timesteps 3050.
Path 145 | total_timesteps 3116.
Path 146 | total_timesteps 3141.
Path 147 | total_timesteps 3158.
Path 148 | total_timesteps 3182.
Path 149 | total_timesteps 3199.
Path 150 | total_timesteps 3211.
Path 151 | total_timesteps 3240.
Path 152 | total_timesteps 3254.
Path 153 | total_timesteps 3281.
Path 154 | total_timesteps 3298.
Path 155 | total_timesteps 3315.
Path 156 | total_timesteps 3336.
Path 157 | total_timesteps 3347.
Path 158 | total_timesteps 3379.
Path 159 | total_timesteps 3419.
Path 160 | total_timesteps 3438.
Path 161 | total_timesteps 3463.
Path 162 | total_timesteps 3481.
Path 163 | total_timesteps 3493.
Path 164 | total_timesteps 3507.
Path 165 | total_timesteps 3521.
Path 166 | total_timesteps 3547.
Path 167 | total_timesteps 3563.
Path 168 | total_timesteps 3584.
Path 169 | total_timesteps 3609.
Path 170 | total_timesteps 3627.
Path 171 | total_timesteps 3654.
Path 172 | total_timesteps 3667.
Path 173 | total_timesteps 3697.
Path 174 | total_timesteps 3719.
Path 175 | total_timesteps 3736.
Path 176 | total_timesteps 3763.
Path 177 | total_timesteps 3795.
Path 178 | total_timesteps 3818.
Path 179 | total_timesteps 3835.
Path 180 | total_timesteps 3844.
Path 181 | total_timesteps 3877.
Path 182 | total_timesteps 3890.
Path 183 | total_timesteps 3912.
