Logging to experiments/gym_fwalker2d/W/Mon-07-Nov-2022-10-28-41-AM-CST_gym_fwalker2d_trpo_iteration_20_seed2531
Print configuration .....
{'env_name': 'gym_fwalker2d', 'random_seeds': [3214, 2431, 2531, 2231], 'save_variables': False, 'model_save_dir': '/tmp/gym_fwalker2d_models/', 'restore_variables': False, 'start_onpol_iter': 0, 'onpol_iters': 33, 'num_path_random': 6, 'num_path_onpol': 6, 'env_horizon': 1000, 'max_train_data': 200000, 'max_val_data': 100000, 'discard_ratio': 0.0, 'dynamics': {'pre_training': {'mode': 'intrinsic_reward', 'itr': 0, 'policy_itr': 20}, 'model': 'nn', 'ensemble': False, 'ensemble_model_count': 5, 'enable_particle_ensemble': True, 'particles': 5, 'obs_var': 1.0, 'intrinsic_reward_coeff': 1.0, 'ita': 1.0, 'mode': 'random', 'val': True, 'n_layers': 4, 'hidden_size': 1000, 'activation': 'relu', 'batch_size': 1000, 'learning_rate': 0.001, 'reg_coeff': 0.0, 'epochs': 200, 'kfac_params': {'learning_rate': 0.1, 'damping': 0.001, 'momentum': 0.9, 'kl_clip': 0.0001, 'cov_ema_decay': 0.99}}, 'policy': {'network_shape': [64, 64], 'init_logstd': 0.0, 'activation': 'tanh', 'reinitialize_every_itr': False}, 'trpo': {'horizon': 1000, 'gamma': 0.99, 'step_size': 0.01, 'iterations': 20, 'batch_size': 50000, 'gae': 0.95, 'visualization': False, 'visualize_iterations': [0]}, 'algo': 'trpo'}
Generating random rollouts.
Path 0 | total_timesteps 0.
Path 1 | total_timesteps 15.
Path 2 | total_timesteps 27.
Path 3 | total_timesteps 43.
Path 4 | total_timesteps 62.
Path 5 | total_timesteps 77.
Path 6 | total_timesteps 93.
Path 7 | total_timesteps 106.
Path 8 | total_timesteps 129.
Path 9 | total_timesteps 142.
Path 10 | total_timesteps 173.
Path 11 | total_timesteps 187.
Path 12 | total_timesteps 199.
Path 13 | total_timesteps 249.
Path 14 | total_timesteps 260.
Path 15 | total_timesteps 285.
Path 16 | total_timesteps 302.
Path 17 | total_timesteps 319.
Path 18 | total_timesteps 353.
Path 19 | total_timesteps 372.
Path 20 | total_timesteps 393.
Path 21 | total_timesteps 405.
Path 22 | total_timesteps 430.
Path 23 | total_timesteps 457.
Path 24 | total_timesteps 481.
Path 25 | total_timesteps 492.
Path 26 | total_timesteps 504.
Path 27 | total_timesteps 538.
Path 28 | total_timesteps 558.
Path 29 | total_timesteps 578.
Path 30 | total_timesteps 599.
Path 31 | total_timesteps 625.
Path 32 | total_timesteps 654.
Path 33 | total_timesteps 667.
Path 34 | total_timesteps 688.
Path 35 | total_timesteps 700.
Path 36 | total_timesteps 715.
Path 37 | total_timesteps 739.
Path 38 | total_timesteps 754.
Path 39 | total_timesteps 767.
Path 40 | total_timesteps 786.
Path 41 | total_timesteps 804.
Path 42 | total_timesteps 818.
Path 43 | total_timesteps 841.
Path 44 | total_timesteps 862.
Path 45 | total_timesteps 885.
Path 46 | total_timesteps 896.
Path 47 | total_timesteps 909.
Path 48 | total_timesteps 924.
Path 49 | total_timesteps 936.
Path 50 | total_timesteps 947.
Path 51 | total_timesteps 969.
Path 52 | total_timesteps 984.
Path 53 | total_timesteps 1009.
Path 54 | total_timesteps 1047.
Path 55 | total_timesteps 1067.
Path 56 | total_timesteps 1090.
Path 57 | total_timesteps 1120.
Path 58 | total_timesteps 1132.
Path 59 | total_timesteps 1149.
Path 60 | total_timesteps 1182.
Path 61 | total_timesteps 1202.
Path 62 | total_timesteps 1224.
Path 63 | total_timesteps 1240.
Path 64 | total_timesteps 1256.
Path 65 | total_timesteps 1285.
Path 66 | total_timesteps 1308.
Path 67 | total_timesteps 1332.
Path 68 | total_timesteps 1352.
Path 69 | total_timesteps 1365.
Path 70 | total_timesteps 1384.
Path 71 | total_timesteps 1400.
Path 72 | total_timesteps 1414.
Path 73 | total_timesteps 1432.
Path 74 | total_timesteps 1449.
Path 75 | total_timesteps 1466.
Path 76 | total_timesteps 1487.
Path 77 | total_timesteps 1510.
Path 78 | total_timesteps 1520.
Path 79 | total_timesteps 1540.
Path 80 | total_timesteps 1568.
Path 81 | total_timesteps 1586.
Path 82 | total_timesteps 1604.
Path 83 | total_timesteps 1621.
Path 84 | total_timesteps 1646.
Path 85 | total_timesteps 1665.
Path 86 | total_timesteps 1684.
Path 87 | total_timesteps 1701.
Path 88 | total_timesteps 1736.
Path 89 | total_timesteps 1748.
Path 90 | total_timesteps 1783.
Path 91 | total_timesteps 1796.
Path 92 | total_timesteps 1817.
Path 93 | total_timesteps 1831.
Path 94 | total_timesteps 1867.
Path 95 | total_timesteps 1888.
Path 96 | total_timesteps 1914.
Path 97 | total_timesteps 1925.
Path 98 | total_timesteps 1937.
Path 99 | total_timesteps 1960.
Path 100 | total_timesteps 1988.
Path 101 | total_timesteps 2004.
Path 102 | total_timesteps 2035.
Path 103 | total_timesteps 2048.
Path 104 | total_timesteps 2068.
Path 105 | total_timesteps 2085.
Path 106 | total_timesteps 2099.
Path 107 | total_timesteps 2124.
Path 108 | total_timesteps 2150.
Path 109 | total_timesteps 2165.
Path 110 | total_timesteps 2176.
Path 111 | total_timesteps 2189.
Path 112 | total_timesteps 2202.
Path 113 | total_timesteps 2222.
Path 114 | total_timesteps 2239.
Path 115 | total_timesteps 2254.
Path 116 | total_timesteps 2269.
Path 117 | total_timesteps 2298.
Path 118 | total_timesteps 2310.
Path 119 | total_timesteps 2344.
Path 120 | total_timesteps 2357.
Path 121 | total_timesteps 2372.
Path 122 | total_timesteps 2393.
Path 123 | total_timesteps 2410.
Path 124 | total_timesteps 2423.
Path 125 | total_timesteps 2444.
Path 126 | total_timesteps 2469.
Path 127 | total_timesteps 2481.
Path 128 | total_timesteps 2493.
Path 129 | total_timesteps 2536.
Path 130 | total_timesteps 2557.
Path 131 | total_timesteps 2576.
Path 132 | total_timesteps 2610.
Path 133 | total_timesteps 2631.
Path 134 | total_timesteps 2651.
Path 135 | total_timesteps 2666.
Path 136 | total_timesteps 2687.
Path 137 | total_timesteps 2699.
Path 138 | total_timesteps 2719.
Path 139 | total_timesteps 2732.
Path 140 | total_timesteps 2747.
Path 141 | total_timesteps 2761.
Path 142 | total_timesteps 2807.
Path 143 | total_timesteps 2837.
Path 144 | total_timesteps 2868.
Path 145 | total_timesteps 2880.
Path 146 | total_timesteps 2894.
Path 147 | total_timesteps 2918.
Path 148 | total_timesteps 2937.
Path 149 | total_timesteps 2950.
Path 150 | total_timesteps 2967.
Path 151 | total_timesteps 2977.
Path 152 | total_timesteps 2993.
Path 153 | total_timesteps 3013.
Path 154 | total_timesteps 3027.
Path 155 | total_timesteps 3038.
Path 156 | total_timesteps 3069.
Path 157 | total_timesteps 3080.
Path 158 | total_timesteps 3093.
Path 159 | total_timesteps 3105.
Path 160 | total_timesteps 3139.
Path 161 | total_timesteps 3159.
Path 162 | total_timesteps 3174.
Path 163 | total_timesteps 3198.
Path 164 | total_timesteps 3226.
Path 165 | total_timesteps 3242.
Path 166 | total_timesteps 3278.
Path 167 | total_timesteps 3294.
Path 168 | total_timesteps 3334.
Path 169 | total_timesteps 3354.
Path 170 | total_timesteps 3377.
Path 171 | total_timesteps 3401.
Path 172 | total_timesteps 3431.
Path 173 | total_timesteps 3455.
Path 174 | total_timesteps 3482.
Path 175 | total_timesteps 3500.
Path 176 | total_timesteps 3519.
Path 177 | total_timesteps 3544.
Path 178 | total_timesteps 3569.
Path 179 | total_timesteps 3600.
Path 180 | total_timesteps 3661.
Path 181 | total_timesteps 3693.
Path 182 | total_timesteps 3715.
Path 183 | total_timesteps 3741.
Path 184 | total_timesteps 3771.
Path 185 | total_timesteps 3781.
Path 186 | total_timesteps 3799.
Path 187 | total_timesteps 3816.
Path 188 | total_timesteps 3867.
Path 189 | total_timesteps 3881.
Path 190 | total_timesteps 3917.
Path 191 | total_timesteps 3933.
